Product ID,Product Name,Category,Sub-Category,Sales_Frequency,Total_Sales,Total_Profit,Avg_Discount_Pct,Profit_Margin_Pct,Frequency_Quartile,Alert_Status
FUR-CH-10001146,"Global Task Chair, Black",Furniture,Chairs,15,2442.02,117.49,18.67,4.81,1,High Sales Low Margin
FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",Furniture,Chairs,15,3641.27,234.23,18.0,6.43,1,High Sales Low Margin
OFF-BI-10001524,GBC Premium Transparent Covers with Diagonal Lined Pattern,Office Supplies,Binders,14,780.46,49.51,40.0,6.34,1,High Sales Low Margin
OFF-BI-10004632,GBC Binding covers,Office Supplies,Binders,14,5535.59,-246.07,35.0,-4.45,1,High Sales Low Margin
FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",Furniture,Chairs,14,5436.16,-474.74,18.57,-8.73,1,High Sales Low Margin
FUR-CH-10003774,"Global Wood Trimmed Manager's Task Chair, Khaki",Furniture,Chairs,14,4166.88,-503.12,22.86,-12.07,1,High Sales Low Margin
OFF-BI-10004140,Avery Non-Stick Binders,Office Supplies,Binders,13,75.43,-13.47,46.15,-17.86,1,High Sales Low Margin
FUR-TA-10001095,Chromcraft Round Conference Tables,Furniture,Tables,13,8209.06,-189.98,25.77,-2.31,1,High Sales Low Margin
OFF-BI-10000301,GBC Instant Report Kit,Office Supplies,Binders,13,164.99,3.24,49.23,1.96,1,High Sales Low Margin
OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,12,102.62,-11.88,45.0,-11.58,1,High Sales Low Margin
FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Furniture,Tables,12,12995.29,-327.23,24.58,-2.52,1,High Sales Low Margin
OFF-BI-10001658,GBC Standard Therm-A-Bind Covers,Office Supplies,Binders,12,466.0,8.47,48.33,1.82,1,High Sales Low Margin
OFF-ST-10000736,Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,Storage,12,3028.65,-3.24,6.67,-0.11,1,High Sales Low Margin
OFF-BI-10003676,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Office Supplies,Binders,12,258.72,-27.17,49.17,-10.5,1,High Sales Low Margin
OFF-ST-10003716,Tennsco Double-Tier Lockers,Office Supplies,Storage,12,9630.86,429.79,10.0,4.46,1,High Sales Low Margin
OFF-ST-10000563,Fellowes Bankers Box Stor/Drawer Steel Plus,Office Supplies,Storage,12,1426.31,-12.79,10.0,-0.9,1,High Sales Low Margin
TEC-AC-10004510,Logitech Desktop MK120 Mouse and keyboard Combo,Technology,Accessories,12,778.74,42.54,6.67,5.46,1,High Sales Low Margin
OFF-BI-10004364,Storex Dura Pro Binders,Office Supplies,Binders,12,125.33,1.19,46.67,0.95,1,High Sales Low Margin
FUR-FU-10002364,"Eldon Expressions Wood Desk Accessories, Oak",Furniture,Furnishings,12,183.02,10.11,16.67,5.52,1,High Sales Low Margin
TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,11,884.0,38.01,10.91,4.3,1,High Sales Low Margin
FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs,11,5989.2,267.3,22.73,4.46,1,High Sales Low Margin
