Product ID,Product Name,Category,Sub-Category,Total_Units_Sold,Total_Sales,Avg_Units_Per_Order,Avg_Monthly_Units,Profit_Margin_Pct,Volume_Quartile,Inventory_Alert,Recommended_Restock_Qty
TEC-AC-10003832,ImationÂ 16GB Mini TravelDrive USB 2.0Â Flash Drive,Technology,Accessories,75.0,11203.76,4.17,6.25,17.74,1,URGENT - Restock Immediately,19.0
OFF-PA-10001970,Xerox 1881,Office Supplies,Paper,70.0,2167.35,3.68,5.83,46.44,1,URGENT - Restock Immediately,17.0
OFF-BI-10001524,GBC Premium Transparent Covers with Diagonal Lined Pattern,Office Supplies,Binders,67.0,780.46,4.79,5.58,6.34,1,MEDIUM - Monitor Stock,17.0
FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",Furniture,Chairs,64.0,3641.27,4.27,5.33,6.43,1,MEDIUM - Monitor Stock,16.0
OFF-BI-10002026,Avery Arch Ring Binders,Office Supplies,Binders,64.0,2068.82,4.57,5.33,16.9,1,URGENT - Restock Immediately,16.0
FUR-TA-10001095,Chromcraft Round Conference Tables,Furniture,Tables,61.0,8209.06,4.69,5.08,-2.31,1,MEDIUM - Monitor Stock,15.0
TEC-AC-10002049,Logitech G19 Programmable Gaming Keyboard,Technology,Accessories,60.0,13756.54,4.0,5.0,32.17,1,URGENT - Restock Immediately,15.0
OFF-BI-10004728,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Office Supplies,Binders,59.0,212.08,4.54,4.92,27.59,1,URGENT - Restock Immediately,15.0
FUR-CH-10003774,"Global Wood Trimmed Manager's Task Chair, Khaki",Furniture,Chairs,59.0,4166.88,4.21,4.92,-12.07,1,MEDIUM - Monitor Stock,15.0
FUR-FU-10001473,DAX Wood Document Frame,Furniture,Furnishings,57.0,839.68,4.07,4.75,21.0,1,URGENT - Restock Immediately,14.0
TEC-AC-10003038,Kingston Digital DataTraveler 16GB USB 2.0,Technology,Accessories,57.0,477.93,4.38,4.75,13.54,1,URGENT - Restock Immediately,14.0
OFF-ST-10001809,Fellowes Officeware Wire Shelving,Office Supplies,Storage,55.0,4509.47,5.0,4.58,-7.37,1,MEDIUM - Monitor Stock,14.0
FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",Furniture,Chairs,54.0,5436.16,3.86,4.5,-8.73,1,MEDIUM - Monitor Stock,14.0
FUR-CH-10004287,SAFCO Arco Folding Chair,Furniture,Chairs,53.0,11572.78,4.08,4.42,10.19,1,URGENT - Restock Immediately,13.0
OFF-PA-10003441,Xerox 226,Office Supplies,Paper,53.0,334.37,4.82,4.42,46.59,1,URGENT - Restock Immediately,13.0
OFF-PA-10002377,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",Office Supplies,Paper,52.0,1004.65,3.71,4.33,41.34,1,URGENT - Restock Immediately,13.0
TEC-PH-10001552,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Technology,Phones,52.0,542.98,5.2,4.33,17.53,1,URGENT - Restock Immediately,13.0
TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories,52.0,1409.53,3.47,4.33,38.04,1,URGENT - Restock Immediately,13.0
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,51.0,10637.53,4.25,4.25,18.12,1,URGENT - Restock Immediately,13.0
OFF-LA-10002762,Avery 485,Office Supplies,Labels,51.0,639.03,6.38,4.25,47.0,1,URGENT - Restock Immediately,13.0
FUR-CH-10001146,"Global Task Chair, Black",Furniture,Chairs,51.0,2442.02,3.4,4.25,4.81,1,MEDIUM - Monitor Stock,13.0
OFF-BI-10003676,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Office Supplies,Binders,51.0,258.72,4.25,4.25,-10.5,1,MEDIUM - Monitor Stock,13.0
FUR-FU-10004270,"Eldon Image Series Desk Accessories, Burgundy",Furniture,Furnishings,51.0,426.56,3.19,4.25,27.36,1,URGENT - Restock Immediately,13.0
FUR-FU-10004973,Flat Face Poster Frame,Furniture,Furnishings,51.0,678.24,4.25,4.25,17.83,1,URGENT - Restock Immediately,13.0
OFF-BI-10000546,Avery Durable Binders,Office Supplies,Binders,50.0,87.26,4.17,4.17,15.84,1,URGENT - Restock Immediately,13.0
OFF-BI-10000301,GBC Instant Report Kit,Office Supplies,Binders,50.0,164.99,3.85,4.17,1.96,1,MEDIUM - Monitor Stock,13.0
OFF-ST-10000563,Fellowes Bankers Box Stor/Drawer Steel Plus,Office Supplies,Storage,50.0,1426.31,4.17,4.17,-0.9,1,MEDIUM - Monitor Stock,13.0
TEC-AC-10004510,Logitech Desktop MK120 Mouse and keyboard Combo,Technology,Accessories,50.0,778.74,4.17,4.17,5.46,1,MEDIUM - Monitor Stock,13.0
OFF-BI-10001718,GBC DocuBind P50 Personal Binding Machine,Office Supplies,Binders,50.0,2264.89,5.0,4.17,25.14,1,URGENT - Restock Immediately,13.0
OFF-AR-10004078,Newell 312,Office Supplies,Art,49.0,234.77,4.45,4.08,14.68,1,URGENT - Restock Immediately,12.0
OFF-ST-10001490,"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage,49.0,8138.23,3.77,4.08,24.78,1,URGENT - Restock Immediately,12.0
TEC-AC-10002473,Maxell 4.7GB DVD-R,Technology,Accessories,49.0,1231.69,4.45,4.08,33.39,1,URGENT - Restock Immediately,12.0
OFF-BI-10002012,Wilson Jones Easy Flow II Sheet Lifters,Office Supplies,Binders,49.0,51.48,4.08,4.08,10.91,1,URGENT - Restock Immediately,12.0
