Month,Total_Revenue,Total_Profit,Total_Orders,Profit_Margin_Pct
2014-01,28953.71,4549.45,58,15.71
2014-02,12743.11,2654.56,47,20.83
2014-03,54801.91,92.7,80,0.17
2014-04,24710.02,4601.07,60,18.62
2014-05,29639.83,3912.25,77,13.2
2014-06,29287.03,4499.74,71,15.36
2014-07,35341.25,-1783.54,70,-5.05
2014-08,37854.55,2081.27,74,5.5
2014-09,66110.22,10232.26,113,15.48
2014-10,34561.95,4075.15,63,11.79
2014-11,64817.62,6653.28,129,10.26
2014-12,65426.31,7975.78,127,12.19
2015-01,29347.39,1237.06,47,4.22
2015-02,20728.35,2171.4,52,10.48
2015-03,40876.61,9165.68,87,22.42
2015-04,38056.97,6132.88,75,16.12
2015-05,30933.71,2779.4,92,8.99
2015-06,28862.2,4788.45,81,16.59
2015-07,28730.38,671.8,69,2.34
2015-08,50094.53,10112.28,79,20.19
2015-09,66729.33,9929.3,127,14.88
2015-10,32025.08,3433.24,81,10.72
2015-11,50732.31,5582.4,126,11.0
2015-12,53415.66,5614.71,122,10.51
2016-01,38048.18,8501.17,77,22.34
2016-02,49238.41,14683.72,62,29.82
2016-03,49612.05,1950.35,96,3.93
2016-04,45192.28,7423.28,94,16.43
2016-05,64964.32,9975.37,123,15.36
2016-06,38991.94,4480.34,91,11.49
2016-07,42773.4,6122.45,105,14.31
2016-08,46339.99,859.45,117,1.85
2016-09,41985.14,5171.9,139,12.32
2016-10,52268.15,8256.47,122,15.8
2016-11,66837.59,3057.52,150,4.57
2016-12,72954.16,11313.17,139,15.51
2017-01,64734.31,10879.42,102,16.81
2017-02,50011.49,4243.97,107,8.49
2017-03,74774.08,18127.86,156,24.24
2017-04,39072.0,-5890.04,134,-15.07
2017-05,40882.45,7567.39,112,18.51
2017-06,47742.33,7396.38,127,15.49
2017-07,54382.09,4997.94,122,9.19
2017-08,75675.3,11767.35,122,15.55
2017-09,74164.61,9221.42,182,12.43
2017-10,65501.16,6572.07,145,10.03
2017-11,89306.24,11141.88,213,12.48
2017-12,56969.2,7413.63,165,13.01
